"samplename","time","sampletype","stationname","biol","tech","species_name","Nreads","station_num","station_type","model_out_name"
"MC_18S_RepFish_Skew_2_R2","1","MockCom","RepFish_Skew_2","1",2,"Cephalopoda",1125,3,"MockCom2","1_MockCom_3_1"
"MC_18S_RepFish_Skew_2_R3","1","MockCom","RepFish_Skew_2","1",3,"Cephalopoda",1226,3,"MockCom2","1_MockCom_3_1"
"PvCF_D1_04_TR1","1","PvCF","D1","4",1,"Crangon",0,1,"Diet","1_PvCF_1_4"
"PvCF_D1_10_TR1","1","PvCF","D1","10",1,"Crangon",0,1,"Diet","1_PvCF_1_10"
"PvCF_D1_11_TR1","1","PvCF","D1","11",1,"Crangon",0,1,"Diet","1_PvCF_1_11"
"PvCF_D1_11_TR2","1","PvCF","D1","11",2,"Crangon",0,1,"Diet","1_PvCF_1_11"
"PvCF_D1_11_TR3","1","PvCF","D1","11",3,"Crangon",0,1,"Diet","1_PvCF_1_11"
"PvCF_D1_13_TR1","1","PvCF","D1","13",1,"Crangon",0,1,"Diet","1_PvCF_1_13"
"PvCF_D1_13_TR2","1","PvCF","D1","13",2,"Crangon",0,1,"Diet","1_PvCF_1_13"
"PvCF_D1_13_TR3","1","PvCF","D1","13",3,"Crangon",0,1,"Diet","1_PvCF_1_13"
"PvCF_D1_14_TR1","1","PvCF","D1","14",1,"Crangon",0,1,"Diet","1_PvCF_1_14"
"PvCF_D1_15_TR1","1","PvCF","D1","15",1,"Crangon",0,1,"Diet","1_PvCF_1_15"
"PvCF_D2_01_TR1","1","PvCF","D2","1",1,"Crangon",0,2,"Diet","1_PvCF_2_1"
"PvCF_D2_01_TR2","1","PvCF","D2","1",2,"Crangon",0,2,"Diet","1_PvCF_2_1"
"PvCF_D2_01_TR3","1","PvCF","D2","1",3,"Crangon",0,2,"Diet","1_PvCF_2_1"
"PvCF_D2_02_TR1","1","PvCF","D2","2",1,"Crangon",0,2,"Diet","1_PvCF_2_2"
"PvCF_D2_02_TR3","1","PvCF","D2","2",3,"Crangon",0,2,"Diet","1_PvCF_2_2"
"PvCF_D2_03_TR1","1","PvCF","D2","3",1,"Crangon",0,2,"Diet","1_PvCF_2_3"
"PvCF_D2_03_TR2","1","PvCF","D2","3",2,"Crangon",0,2,"Diet","1_PvCF_2_3"
"PvCF_D2_03_TR3","1","PvCF","D2","3",3,"Crangon",0,2,"Diet","1_PvCF_2_3"
"PvCF_D2_04_TR1","1","PvCF","D2","4",1,"Crangon",0,2,"Diet","1_PvCF_2_4"
"PvCF_D2_04_TR2","1","PvCF","D2","4",2,"Crangon",0,2,"Diet","1_PvCF_2_4"
"PvCF_D2_04_TR3","1","PvCF","D2","4",3,"Crangon",0,2,"Diet","1_PvCF_2_4"
"PvCF_D2_05_TR1","1","PvCF","D2","5",1,"Crangon",0,2,"Diet","1_PvCF_2_5"
"PvCF_D2_05_TR2","1","PvCF","D2","5",2,"Crangon",0,2,"Diet","1_PvCF_2_5"
"PvCF_D2_05_TR3","1","PvCF","D2","5",3,"Crangon",0,2,"Diet","1_PvCF_2_5"
"PvCF_D2_06_TR1","1","PvCF","D2","6",1,"Crangon",0,2,"Diet","1_PvCF_2_6"
"PvCF_D2_06_TR2","1","PvCF","D2","6",2,"Crangon",0,2,"Diet","1_PvCF_2_6"
"PvCF_D2_06_TR3","1","PvCF","D2","6",3,"Crangon",0,2,"Diet","1_PvCF_2_6"
"PvCF_D2_07_TR1","1","PvCF","D2","7",1,"Crangon",0,2,"Diet","1_PvCF_2_7"
"PvCF_D2_07_TR2","1","PvCF","D2","7",2,"Crangon",0,2,"Diet","1_PvCF_2_7"
"PvCF_D2_07_TR3","1","PvCF","D2","7",3,"Crangon",0,2,"Diet","1_PvCF_2_7"
"PvCF_D2_08_TR1","1","PvCF","D2","8",1,"Crangon",0,2,"Diet","1_PvCF_2_8"
"PvCF_D2_08_TR2","1","PvCF","D2","8",2,"Crangon",0,2,"Diet","1_PvCF_2_8"
"PvCF_D2_08_TR3","1","PvCF","D2","8",3,"Crangon",0,2,"Diet","1_PvCF_2_8"
"PvCF_D2_09_TR1","1","PvCF","D2","9",1,"Crangon",0,2,"Diet","1_PvCF_2_9"
"PvCF_D2_09_TR2","1","PvCF","D2","9",2,"Crangon",0,2,"Diet","1_PvCF_2_9"
"PvCF_D2_09_TR3","1","PvCF","D2","9",3,"Crangon",0,2,"Diet","1_PvCF_2_9"
"PvCF_D2_10_TR1","1","PvCF","D2","10",1,"Crangon",0,2,"Diet","1_PvCF_2_10"
"PvCF_D2_10_TR2","1","PvCF","D2","10",2,"Crangon",0,2,"Diet","1_PvCF_2_10"
"PvCF_D2_10_TR3","1","PvCF","D2","10",3,"Crangon",0,2,"Diet","1_PvCF_2_10"
"PvCF_D2_11_TR1","1","PvCF","D2","11",1,"Crangon",0,2,"Diet","1_PvCF_2_11"
"PvCF_D3_01_TR1","1","PvCF","D3","1",1,"Crangon",0,3,"Diet","1_PvCF_3_1"
"PvCF_D3_01_TR2","1","PvCF","D3","1",2,"Crangon",0,3,"Diet","1_PvCF_3_1"
"PvCF_D3_01_TR3","1","PvCF","D3","1",3,"Crangon",0,3,"Diet","1_PvCF_3_1"
"PvCF_D3_02_TR1","1","PvCF","D3","2",1,"Crangon",0,3,"Diet","1_PvCF_3_2"
"PvCF_D3_03_TR2","1","PvCF","D3","3",2,"Crangon",0,3,"Diet","1_PvCF_3_3"
"PvCF_D3_03_TR3","1","PvCF","D3","3",3,"Crangon",0,3,"Diet","1_PvCF_3_3"
"PvCF_D3_04_TR1","1","PvCF","D3","4",1,"Crangon",0,3,"Diet","1_PvCF_3_4"
"PvCF_D3_05_TR1","1","PvCF","D3","5",1,"Crangon",0,3,"Diet","1_PvCF_3_5"
"PvCF_D3_05_TR2","1","PvCF","D3","5",2,"Crangon",0,3,"Diet","1_PvCF_3_5"
"PvCF_D3_05_TR3","1","PvCF","D3","5",3,"Crangon",0,3,"Diet","1_PvCF_3_5"
"PvCF_D3_06_TR1","1","PvCF","D3","6",1,"Crangon",0,3,"Diet","1_PvCF_3_6"
"PvCF_D3_07_TR1","1","PvCF","D3","7",1,"Crangon",0,3,"Diet","1_PvCF_3_7"
"PvCF_D3_07_TR2","1","PvCF","D3","7",2,"Crangon",0,3,"Diet","1_PvCF_3_7"
"PvCF_D3_07_TR3","1","PvCF","D3","7",3,"Crangon",0,3,"Diet","1_PvCF_3_7"
"PvCF_D3_08_TR1","1","PvCF","D3","8",1,"Crangon",0,3,"Diet","1_PvCF_3_8"
"PvCF_D3_08_TR2","1","PvCF","D3","8",2,"Crangon",0,3,"Diet","1_PvCF_3_8"
"PvCF_D3_08_TR3","1","PvCF","D3","8",3,"Crangon",0,3,"Diet","1_PvCF_3_8"
"PvCF_D3_09_TR1","1","PvCF","D3","9",1,"Crangon",0,3,"Diet","1_PvCF_3_9"
"PvCF_D3_09_TR2","1","PvCF","D3","9",2,"Crangon",0,3,"Diet","1_PvCF_3_9"
"PvCF_D3_09_TR3","1","PvCF","D3","9",3,"Crangon",0,3,"Diet","1_PvCF_3_9"
"PvCF_D3_10_TR1","1","PvCF","D3","10",1,"Crangon",0,3,"Diet","1_PvCF_3_10"
"PvCF_D3_10_TR2","1","PvCF","D3","10",2,"Crangon",0,3,"Diet","1_PvCF_3_10"
"PvCF_D3_10_TR3","1","PvCF","D3","10",3,"Crangon",0,3,"Diet","1_PvCF_3_10"
"PvCF_D3_11_TR1","1","PvCF","D3","11",1,"Crangon",0,3,"Diet","1_PvCF_3_11"
"PvCF_D3_12_TR1","1","PvCF","D3","12",1,"Crangon",0,3,"Diet","1_PvCF_3_12"
"PvCF_D3_13_TR1","1","PvCF","D3","13",1,"Crangon",0,3,"Diet","1_PvCF_3_13"
"PvCF_D3_13_TR2","1","PvCF","D3","13",2,"Crangon",0,3,"Diet","1_PvCF_3_13"
"PvCF_D3_13_TR3","1","PvCF","D3","13",3,"Crangon",0,3,"Diet","1_PvCF_3_13"
"PvCF_D3_14_TR1","1","PvCF","D3","14",1,"Crangon",0,3,"Diet","1_PvCF_3_14"
"PvCF_D3_14_TR2","1","PvCF","D3","14",2,"Crangon",0,3,"Diet","1_PvCF_3_14"
"PvCF_D3_15_TR1","1","PvCF","D3","15",1,"Crangon",0,3,"Diet","1_PvCF_3_15"
"PvCF_D3_15_TR2","1","PvCF","D3","15",2,"Crangon",0,3,"Diet","1_PvCF_3_15"
"PvCF_D3_15_TR3","1","PvCF","D3","15",3,"Crangon",0,3,"Diet","1_PvCF_3_15"
"PvCF_D4_01_TR1","1","PvCF","D4","1",1,"Crangon",0,4,"Diet","1_PvCF_4_1"
"PvCF_D4_01_TR2","1","PvCF","D4","1",2,"Crangon",0,4,"Diet","1_PvCF_4_1"
"PvCF_D4_01_TR3","1","PvCF","D4","1",3,"Crangon",0,4,"Diet","1_PvCF_4_1"
"PvCF_D4_02_TR1","1","PvCF","D4","2",1,"Crangon",0,4,"Diet","1_PvCF_4_2"
"PvCF_D4_03_TR2","1","PvCF","D4","3",2,"Crangon",0,4,"Diet","1_PvCF_4_3"
"PvCF_D4_03_TR3","1","PvCF","D4","3",3,"Crangon",0,4,"Diet","1_PvCF_4_3"
"PvCF_D4_04_TR1","1","PvCF","D4","4",1,"Crangon",0,4,"Diet","1_PvCF_4_4"
"PvCF_D4_04_TR2","1","PvCF","D4","4",2,"Crangon",0,4,"Diet","1_PvCF_4_4"
"PvCF_D4_04_TR3","1","PvCF","D4","4",3,"Crangon",0,4,"Diet","1_PvCF_4_4"
"PvCF_D4_05_TR1","1","PvCF","D4","5",1,"Crangon",0,4,"Diet","1_PvCF_4_5"
"PvCF_D4_05_TR2","1","PvCF","D4","5",2,"Crangon",0,4,"Diet","1_PvCF_4_5"
"PvCF_D4_05_TR3","1","PvCF","D4","5",3,"Crangon",0,4,"Diet","1_PvCF_4_5"
"PvCF_D4_07_TR1","1","PvCF","D4","7",1,"Crangon",0,4,"Diet","1_PvCF_4_7"
"PvCF_D4_07_TR2","1","PvCF","D4","7",2,"Crangon",0,4,"Diet","1_PvCF_4_7"
"PvCF_D4_08_TR1","1","PvCF","D4","8",1,"Crangon",0,4,"Diet","1_PvCF_4_8"
"PvCF_D4_08_TR2","1","PvCF","D4","8",2,"Crangon",0,4,"Diet","1_PvCF_4_8"
"PvCF_D4_08_TR3","1","PvCF","D4","8",3,"Crangon",0,4,"Diet","1_PvCF_4_8"
