"samplename","time","sampletype","station","biol","tech","species_name","Nreads","station_num","station_type","model_out_name","corrected_prop","median_prop","lower_95","upper_95","sd_prop","total_reads_sample","uncorrected_prop","expected_prop","source","sample_type","sample"
"MC_18S_RepFish_Even_R2",1,"MockCom","RepFish_Even",1,2,"Squalus suckleyi",551,1,"MockCom2","1_MockCom_1_1",0.0081804412839697,0.00761826996343089,0.00352723388092529,0.0160386578564222,0.00322164834683641,34164,0.0161280880458963,0.0666666666666667,"Mock","MockCom2","RepFish_Even"
"MC_18S_RepFish_Even_R3",1,"MockCom","RepFish_Even",1,3,"Squalus suckleyi",682,1,"MockCom2","1_MockCom_1_1",0.0081804412839697,0.00761826996343089,0.00352723388092529,0.0160386578564222,0.00322164834683641,40990,0.0166382044401073,0.0666666666666667,"Mock","MockCom2","RepFish_Even"
"MC_18S_RepFish_Skew_1_R1",1,"MockCom","RepFish_Skew_1",1,1,"Squalus suckleyi",970,2,"MockCom2","1_MockCom_2_1",0.0126671379331849,0.0118458954407793,0.00579270898243407,0.0238997659284537,0.00467972255040553,55336,0.0175292756975567,0.0760095011876485,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_1_R2",1,"MockCom","RepFish_Skew_1",1,2,"Squalus suckleyi",365,2,"MockCom2","1_MockCom_2_1",0.0126671379331849,0.0118458954407793,0.00579270898243407,0.0238997659284537,0.00467972255040553,25216,0.0144749365482233,0.0760095011876485,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_1_R3",1,"MockCom","RepFish_Skew_1",1,3,"Squalus suckleyi",555,2,"MockCom2","1_MockCom_2_1",0.0126671379331849,0.0118458954407793,0.00579270898243407,0.0238997659284537,0.00467972255040553,39078,0.0142023645017657,0.0760095011876485,"Mock","MockCom2","RepFish_Skew_1"
"MC_18S_RepFish_Skew_2_R1",1,"MockCom","RepFish_Skew_2",1,1,"Squalus suckleyi",1118,3,"MockCom2","1_MockCom_3_1",0.022739495151464,0.0213352131302004,0.0102112923361284,0.0430097223750928,0.00847292215204642,35874,0.0311646317667391,0.128865979381443,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Skew_2_R2",1,"MockCom","RepFish_Skew_2",1,2,"Squalus suckleyi",753,3,"MockCom2","1_MockCom_3_1",0.022739495151464,0.0213352131302004,0.0102112923361284,0.0430097223750928,0.00847292215204642,21387,0.0352083041099733,0.128865979381443,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Skew_2_R3",1,"MockCom","RepFish_Skew_2",1,3,"Squalus suckleyi",798,3,"MockCom2","1_MockCom_3_1",0.022739495151464,0.0213352131302004,0.0102112923361284,0.0430097223750928,0.00847292215204642,27638,0.0288732903972791,0.128865979381443,"Mock","MockCom2","RepFish_Skew_2"
"MC_18S_RepFish_Even_R1",1,"MockCom","RepFish_Even",1,1,"Mammalia",2150,1,"MockCom2","1_MockCom_1_1",0.0626046150189381,0.0616155383110951,0.0386607644461336,0.0924795736745905,0.0137534337428818,48454,0.0443719816733397,0.0666666666666667,"Mock","MockCom2","RepFish_Even"
"MC_18S_RepFish_Even_R2",1,"MockCom","RepFish_Even",1,2,"Mammalia",1452,1,"MockCom2","1_MockCom_1_1",0.0626046150189381,0.0616155383110951,0.0386607644461336,0.0924795736745905,0.0137534337428818,34164,0.0425008781173165,0.0666666666666667,"Mock","MockCom2","RepFish_Even"
