"featureid","final_taxonomy"
"a2cef229889ec004362e12f47d410710","Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus eugenii"
"edbad1c8317bc8957688ecfb40de2022","Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa sapidissima"
"ee5340f2083c34a6e345b92d0f222ee9","Eukaryota"
"0c3ee769ed3433a7d59eb914133f27af","Eukaryota;Ciliophora"
"723bb73aef66ecf97f92cac36342a53d","Eukaryota;Ciliophora;Colpodea;Bursariomorphida;Bursariidae;Bursaria;NA"
"3821762dc01948b6265a7ce8bff0eb19","Eukaryota;Platyhelminthes;Trematoda;Plagiorchiida;Gorgoderidae;Xystretrum;Xystretrum sp. DTJL-2000"
"6ae0c47da5bc481ab867b34c00e870b5","Eukaryota;Ascomycota"
"221bfc6a93132a80b0986abaf5f4f506","Eukaryota"
"81b072ab61598d340c85ec72d5f20db3","Eukaryota;Chordata"
"3bffc892c6d1831d36d9d07341836468","Eukaryota;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Lebbeus;NA"
"61771657cced3230616d8f4869a805a5","Eukaryota"
"e8621690f436993d1df6e2600fd97d77","Eukaryota;Ciliophora;Spirotrichea;Kiitrichida;Kiitrichidae;Caryotricha;Caryotricha rariseta"
"591446822df58deae7c99d0ce2180723","Eukaryota"
"52b091176e12201a381e7b2ed5c1c7c8","Eukaryota"
"79d48e9e38338e1808bb26064a2b6805","Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium parvum"
"1129b26afa350f4e6d1ae5203303f9a2","Eukaryota"
"43871858238ba8217bcb4adb0fdef9b9","Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida"
"1948cba86e13fe5ad30ba0be28b64ff1","Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus eugenii"
"85c5fd689db9cb08c344f62e9175bbaa","Eukaryota;Oomycota;unclassified;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia parasitica"
"4e2b4239800bc5df4fbf5b695bd9cb33","Eukaryota;Bacillariophyta;Bacillariophyceae"
"1311d098ac75f9de542b6a9c5b0ee528","Eukaryota"
"bfa02181c16eaaefe39a7f2a4f9c1e2f","Eukaryota;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Catapyrenium;Catapyrenium daedaleum"
"e987f35719ae58b5a838b45bb8702727","Eukaryota"
"0e437c794b8d48ae77c737f5a454177e","Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Eimeriidae;Eimeria"
"a1bcb37ff8305a3c7cf92b91741aa569","Eukaryota;Cnidaria;Anthozoa;Actiniaria"
"201ccea166f77d9545c32eba3475cf21","Eukaryota"
"33f99d572cf08a2455704f423b2dbfdb","Eukaryota;Platyhelminthes"
"f64da20b2d78cd24bf880733426059cc","Eukaryota"
"d30048a3f7bc51ee5c310b6b8a698dcf","Eukaryota"
"4941b1be5cdf90bc18b69f554aad2b49","Eukaryota;Oomycota;unclassified;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia parasitica"
"b5d6ed41f567592f6d1e55a72bf74aed","Eukaryota;Ciliophora;Oligohymenophorea;Philasterida;Uronematidae;Uronema;Uronema marinum"
"32bc295cc145bf8bc89224f2aa789e10","Eukaryota;Arthropoda;Malacostraca;Decapoda;Cancridae;Metacarcinus;Metacarcinus magister"
"76ac7376474fbd65716214892831307f","Eukaryota"
"9934aedf3964acc8510eaf4d304f210a","Eukaryota;Streptophyta"
"4a414434bf443abb2e1c17664c83fc5a","Eukaryota"
"b8bb53a4c6b32cce84b14df69c8e03d2","Eukaryota;Arthropoda;Malacostraca;Decapoda;Callianassidae;Neotrypaea;Neotrypaea californiensis"
"17a3bafe46151d83324f4ff8f400d9d5","Eukaryota"
"e20c9bebee48670e53caea3a498a32ef","Eukaryota;Chordata;Actinopteri"
"81efac84f6a02272bf364f1e3ccad11a","Eukaryota;Arthropoda;Malacostraca;Decapoda;Callianassidae;Neotrypaea;Neotrypaea californiensis"
"ff0c1b8b809d098efa63f46728a9b2eb","Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Anopheles;NA"
"bd2f71ecd34e2b029fcf97ff5b7d76f4","Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Alosa;Alosa sapidissima"
"5970a9e443ca876d0c64cae8adea07fe","Eukaryota"
"feaea306fa589825218932760f01bc0c","Eukaryota"
"a1d94dfaf0f7c2c026603ba3fb35435e","Eukaryota;Ciliophora;Spirotrichea;Kiitrichida;Kiitrichidae;Caryotricha;Caryotricha rariseta"
"d73cb3369efffe904c0448db2f140e37","Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus eugenii"
"00fdda492a71b81ddaf3ebf88331511f","Eukaryota;Streptophyta;Magnoliopsida"
"cc237a14e8b23c954b580bde6f8b4615","Eukaryota"
"8321c5ce86be1ce3f0f21dee26ed2443","Eukaryota;Ciliophora;Spirotrichea;Kiitrichida;Kiitrichidae;Caryotricha;Caryotricha rariseta"
"e926fdebe52a895c6d69c2e71ade55fd","Eukaryota;Oomycota;unclassified;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia parasitica"
"e3138d004d3593ea855439ad65cec004","Eukaryota;Arthropoda;Chilopoda;Scolopendromorpha;Scolopendridae;Otostigmus;Otostigmus spinicaudus"
"58a54833d1ad6013303cd994f78a50f0","Eukaryota;Ciliophora;Spirotrichea;Kiitrichida;Kiitrichidae;Caryotricha;Caryotricha rariseta"
"37771aed56a7bf7fb8257210da83f465","Eukaryota;Streptophyta"
"3ea9f2f18ccb7f16b22dec48abfd7e1e","Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae"
"bb966c1377f29ad71f48df909a6b8f87","Eukaryota;Ciliophora;Colpodea;Bursariomorphida;Bursariidae;Bursaria;NA"
"f040ac1e0388ec66af1d4513e9b8d318","Eukaryota;Streptophyta"
"1849adf83db8306c52ab63bd80ff539d","Eukaryota;Streptophyta"
"b9c916fb7cda9d201e4a43646d494665","Eukaryota"
"c51039e67dbf27422fc6628eba427c46","Eukaryota"
"6afde841f0e0f8d13a3b0003a9c74de2","Eukaryota;Bacillariophyta;Bacillariophyceae"
"fe3a854c3fec52ae31230741adbd7daf","Eukaryota;Ascomycota"
"86ef98e5f8d750e4c6639e5335150855","Eukaryota"
"099042e3c6343efc58cd58592f4f63b6","Eukaryota"
"dfbaf7a845022b7728301d4f912fb59f","Eukaryota"
"c5444e062f03e4ebba960cf19490d3cf","Eukaryota"
"258699791238d69e01397782ec8dab63","Eukaryota"
"49011166c901a7343a46aebb64fe1e4b","Eukaryota;Streptophyta;Magnoliopsida"
"cf1bd958823b27124981996a168c14ea","Eukaryota"
"0e010bef22eb80d5de535fada6eaaa25","Eukaryota;Chordata;Actinopteri"
"24efa2c271204ca217a92cf9fd16c3da","Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus eugenii"
"9010802ea3865add952d876c5489b221","Eukaryota"
"f0808e3a22570299852c4e0846cbebc4","Eukaryota;Streptophyta"
"886a33a1c4caf537171b2ce519bef14a","Eukaryota"
"4787c512462ddf1a60b81b0ce3ea85d3","Eukaryota;Acanthocephala;Palaeacanthocephala;Polymorphida;Polymorphidae;Corynosoma;Corynosoma strumosum"
"265a2911b69b17f60425926907a97724","Eukaryota;Chordata;Mammalia;Diprotodontia;Macropodidae;Notamacropus;Notamacropus eugenii"
"84c8385dad8a02aac25b2b872fb2b1eb","Eukaryota"
"1efb7f937f8a02c8b088fb52f8efac9a","Eukaryota;Bacillariophyta;Bacillariophyceae"
"ab48710fcf3ee51d8f00adbf51a6ef8e","Eukaryota;Ciliophora;Spirotrichea;Kiitrichida;Kiitrichidae;Caryotricha;Caryotricha rariseta"
"a323783b7168374f32eea4761380a887","Eukaryota;Rhodophyta;Florideophyceae;Colaconematales;Colaconemataceae;Colaconema;Colaconema sp. 1Brazil"
"e04ed1d5698a5a27555113efcce8728a","Eukaryota;Nematoda;Chromadorea;Strongylida;Pseudaliidae;Stenurus;Stenurus minor"
"9d304fdf29a90638057950f09c19fcac","Eukaryota"
"f30c6695e746cdb095e716187748c358","Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae"
"5e9d95cbca81b381843b701fb8506d18","Eukaryota"
"312314093a99787e00914be0bc16494e","Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Taeniacanthidae;NA;NA"
"010b068a162942ccae70a4936f40c936","Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella"
"c4d601bf69963646a4e59c69b20ebab5","Eukaryota"
"742a32b96fb96cc5035633094969224d","Eukaryota;Ascomycota"
"210fe90b9746654ba8072ff972502c6b","Eukaryota;Ascomycota;Eurotiomycetes"
"b1fe78e8b412f73b1fbec7631d9e75bd","Eukaryota;Annelida;Polychaeta;Xenopneusta;Urechidae;Urechis;Urechis caupo"
"ea64c9da55098a18c309dc59d74dbbd1","Eukaryota;Bacillariophyta;Bacillariophyceae"
"bde2489ef597e6b70ebe74db40017e02","Eukaryota"
"07f93f21a89ea95d824d121d3a403bb2","Eukaryota;Bacillariophyta;Bacillariophyceae"
"19b7c2100d83e8bd56fab2c3daa743b0","Eukaryota;Basidiomycota"
"6469c951bbddc4018f44f4185820b861","Eukaryota;Discosea;unclassified;Longamoebia;Acanthamoebidae;Acanthamoeba;Acanthamoeba castellanii"
"8a99a6a55c331fca001e7e97f3d5e29c","Eukaryota;Oomycota;unclassified;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia parasitica"
"894afe3f8e3ad194b0dfe081038c2c25","Eukaryota;Arthropoda;Malacostraca;Decapoda"
"e3c56dbd4d39384f316192169b662e9e","Eukaryota;Arthropoda;Malacostraca;Mysida;Mysidae;Neomysis;NA"
"85fcdca8a76221aea7fa9e9250c7bae7","Eukaryota;Ascomycota"
"e98f433ee76269effe44e818b78937e7","Eukaryota;Ascomycota"
"10c8a84394367fc6f111e73b44b5d403","Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Taeniacanthidae;NA;NA"
