feature_id	Taxon
c29f757a85c7c6de0c97756088fcf510	Eukaryota;Chordata;Actinopteri;Perciformes;Stichaeidae;Anoplarchus;Anoplarchus insignis
e90a281a8285b876fc0e8a15d632a926	Eukaryota;Chordata;Actinopteri;Perciformes;Liparidae;Liparis;Liparis dennyi
7b0ee9c0cbb60aaa4557978b35f82f64	Eukaryota;Chordata;Actinopteri;Embiotocidae;Embiotoca;Embiotoca lateralis
03f882f8b630a699cc65c81152042474	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Lyopsetta;Lyopsetta exilis
7dbd63c3016d061fca34fba08b136964	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
a9181f470ed5dc94ad4a633e45666134	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Glyptocephalus;Glyptocephalus zachirus
bd8287fe9a39ce2ae277d62ce6aa42dc	Eukaryota;Chordata;Chondrichthyes;Rajiformes;Rajidae;Raja;Beringraja binoculata
8331d0ec52e5e1becb9c98d6bdf4d030	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
d4d80fe3d31e0188b8910aa1f3000067	Eukaryota;Chordata;Hyperoartia;Petromyzontiformes;Petromyzontidae;Entosphenus;Entosphenus tridentatus
aa74e24621dfbb345b0e188ca40b3ce8	Eukaryota;Chordata;Actinopteri;Perciformes;Hexagrammidae;Hexagrammos;Hexagrammos lagocephalus
b957ca8bf46da45d8f94b616ded1a0cc	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Hemilepidotus;Hemilepidotus hemilepidotus
fa548f8dbf8dc947f6fdc428482bc804	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
10d9a0da2380f77884f1930119c10fbc	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Leptocottus;Leptocottus armatus
c376b6c122c12870a1e2caa19bde8fc4	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
6f3b0ab5142e9e7ecc5e25221fbb3a4e	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Clevelandia;Clevelandia ios
235e5d8bcb57fc094f989cead0dbd467	Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox maeandricus
c7afda9a49c12d381110436a58329a70	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus keta
e262093e5423d62afc24cda5c5c73df0	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus tshawytscha
a6d5263134756e714d775dc183c54033	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
2b3c407a697c06268918a55ce5616e71	Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Hemilepidotus;Hemilepidotus hemilepidotus
d9b47d9aaed6209f3c81278d71ce4c7b	Eukaryota;Chordata;Actinopteri;Perciformes;Aulorhynchidae;Aulorhynchus;Aulorhynchus flavidus
7c311cbec10718ed55f3b8d1903ead4a	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lepidogobius;Lepidogobius lepidus
05bd9b5534f9f22cf34bcdff39787f7e	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
b488a799cb78c275db3b62e0fa04e354	Eukaryota;Chordata;Actinopteri;Perciformes;Gasterosteidae;Gasterosteus;Gasterosteus aculeatus
8604d48167bba60ce6a648524bd1d7dd	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
e3c90b93d1d2c708cb50deea0f803156	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
f2ed68fb947a729861a7f002ee34c408	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
39da5203954d5e2125cdba82b353acd1	Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus simillimus
6ea542369ceec2072036954e0d7fe1e1	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
850d3825e34ad8482f6751617f84f701	Eukaryota;Chordata;Actinopteri;Osmeriformes;Osmeridae;Thaleichthys;Thaleichthys pacificus
