sampleid	plate-well	project
18QY0038	C-A12	HarborSealScat_HS_1-4
18QY0039	C-B12	HarborSealScat_HS_1-4
18QY0040	C-C12	HarborSealScat_HS_1-4
18QY0041	C-D12	HarborSealScat_HS_1-4
18QY0042_1	C-E12	HarborSealScat_HS_1-4
18QY0042_2	C-F12	HarborSealScat_HS_1-4
18QY0042_3	C-G12	HarborSealScat_HS_1-4
Kang_HS_03	C-H12	HarborSealScat_HS_1-4
18QY0043	D-A01	HarborSealScat_HS_1-4
18QY0044	D-B01	HarborSealScat_HS_1-4
18QY0045	D-C01	HarborSealScat_HS_1-4
18QY0046	D-D01	HarborSealScat_HS_1-4
18QY0047	D-E01	HarborSealScat_HS_1-4
18QY0048	D-F01	HarborSealScat_HS_1-4
18QY0049	D-G01	HarborSealScat_HS_1-4
18QY0050	D-H01	HarborSealScat_HS_1-4
18QY0051	D-A02	HarborSealScat_HS_1-4
18QY0052	D-B02	HarborSealScat_HS_1-4
18QY0053	D-C02	HarborSealScat_HS_1-4
18QY0054	D-D02	HarborSealScat_HS_1-4
18QY0055	D-E02	HarborSealScat_HS_1-4
18QY0056	D-F02	HarborSealScat_HS_1-4
18QY0057	D-G02	HarborSealScat_HS_1-4
18QY0058	D-H02	HarborSealScat_HS_1-4
18QY0059	D-A03	HarborSealScat_HS_1-4
18QY0060	D-B03	HarborSealScat_HS_1-4
18QY0061	D-C03	HarborSealScat_HS_1-4
18QY0062	D-D03	HarborSealScat_HS_1-4
18QY0063	D-E03	HarborSealScat_HS_1-4
18QY0064	D-F03	HarborSealScat_HS_1-4
18QY0065	D-G03	HarborSealScat_HS_1-4
18QY0066	D-H03	HarborSealScat_HS_1-4
18QY0067	D-A04	HarborSealScat_HS_1-4
18QY0068	D-B04	HarborSealScat_HS_1-4
18QY0069	D-C04	HarborSealScat_HS_1-4
18QY0070	D-D04	HarborSealScat_HS_1-4
18QY0071	D-E04	HarborSealScat_HS_1-4
18QY0072	D-F04	HarborSealScat_HS_1-4
18QY0117	D-G04	HarborSealScat_HS_1-4
18QY0118	D-H04	HarborSealScat_HS_1-4
18QY0119	D-A05	HarborSealScat_HS_1-4
18QY0120	D-B05	HarborSealScat_HS_1-4
18QY0121	D-C05	HarborSealScat_HS_1-4
18QY0122	D-D05	HarborSealScat_HS_1-4
18QY0123	D-E05	HarborSealScat_HS_1-4
18QY0124	D-F05	HarborSealScat_HS_1-4
18QY0125	D-G05	HarborSealScat_HS_1-4
18QY0126	D-H05	HarborSealScat_HS_1-4
18QY0127	D-A06	HarborSealScat_HS_1-4
18QY0128	D-B06	HarborSealScat_HS_1-4
18QY0130	D-C06	HarborSealScat_HS_1-4
18QY0131	D-D06	HarborSealScat_HS_1-4
18QY0132	D-E06	HarborSealScat_HS_1-4
18QY0133	D-F06	HarborSealScat_HS_1-4
18QY0134	D-G06	HarborSealScat_HS_1-4
18QY0135	D-H06	HarborSealScat_HS_1-4
18QY0136	D-A07	HarborSealScat_HS_1-4
18QY0137	D-B07	HarborSealScat_HS_1-4
18QY0138	D-C07	HarborSealScat_HS_1-4
18QY0139	D-D07	HarborSealScat_HS_1-4
18QY0140	D-E07	HarborSealScat_HS_1-4
18QY0141	D-F07	HarborSealScat_HS_1-4
18QY0142	D-G07	HarborSealScat_HS_1-4
18QY0143	D-H07	HarborSealScat_HS_1-4
18QY0144	D-A08	HarborSealScat_HS_1-4
18QY0146	D-B08	HarborSealScat_HS_1-4
18QY0147	D-C08	HarborSealScat_HS_1-4
18QY0148	D-D08	HarborSealScat_HS_1-4
18QY0149	D-E08	HarborSealScat_HS_1-4
18QY0150	D-F08	HarborSealScat_HS_1-4
18QY0151	D-G08	HarborSealScat_HS_1-4
18QY0152	D-H08	HarborSealScat_HS_1-4
18QY0153	D-A09	HarborSealScat_HS_1-4
18QY0154	D-B09	HarborSealScat_HS_1-4
18QY0155	D-C09	HarborSealScat_HS_1-4
18QY0156	D-D09	HarborSealScat_HS_1-4
18QY0157	D-E09	HarborSealScat_HS_1-4
18QY0158	D-F09	HarborSealScat_HS_1-4
18QY0159	D-G09	HarborSealScat_HS_1-4
18QY0160	D-H09	HarborSealScat_HS_1-4
18QY0161	D-A10	HarborSealScat_HS_1-4
18QY0162	D-B10	HarborSealScat_HS_1-4
18QY0163	D-C10	HarborSealScat_HS_1-4
18QY0164	D-D10	HarborSealScat_HS_1-4
18QY0165	D-E10	HarborSealScat_HS_1-4
18QY0166	D-F10	HarborSealScat_HS_1-4
18QY0167	D-G10	HarborSealScat_HS_1-4
18QY0168	D-H10	HarborSealScat_HS_1-4
18QY0169	D-A11	HarborSealScat_HS_1-4
18QY0170	D-B11	HarborSealScat_HS_1-4
18QY0171	D-C11	HarborSealScat_HS_1-4
18QY0172	D-D11	HarborSealScat_HS_1-4
18QY0173	D-E11	HarborSealScat_HS_1-4
18QY0174	D-F11	HarborSealScat_HS_1-4
18QY0175	D-G11	HarborSealScat_HS_1-4
18QY0176	D-H11	HarborSealScat_HS_1-4
18QY0177	D-A12	HarborSealScat_HS_1-4
18QY0178	D-B12	HarborSealScat_HS_1-4
18QY0179	D-C12	HarborSealScat_HS_1-4
18QY0180	D-D12	HarborSealScat_HS_1-4
18QY0181_1	D-E12	HarborSealScat_HS_1-4
18QY0181_2	D-F12	HarborSealScat_HS_1-4
18QY0181_3	D-G12	HarborSealScat_HS_1-4
Kang_HS_04	D-H12	HarborSealScat_HS_1-4
