"SampleID","samplename","model_out_name","time","creek","station","station_num","biol","tech","diet_sp","P18S_taxon_assign","Species","expected_prop","has_multiple_seals","seal_1","seal_2","seal_1_actual_mass","seal_2_actual_mass","seal_1_total_mass","seal_2_total_mass","seal_1_actual_prop","seal_2_actual_prop"
"PvCF_D1_06","PvCF_D1_06_TR1","1_PvCF_1_6",1,"PvCF","D1",1,6,1,"prawn","Penaeus monodon","Penaeus monodon",0,TRUE,"DaVinci","Donnelly",0,0,3.21,2.93,0,0
"PvCF_D1_06","PvCF_D1_06_TR2","1_PvCF_1_6",1,"PvCF","D1",1,6,2,"prawn","Penaeus monodon","Penaeus monodon",0,TRUE,"DaVinci","Donnelly",0,0,3.21,2.93,0,0
"PvCF_D1_06","PvCF_D1_06_TR3","1_PvCF_1_6",1,"PvCF","D1",1,6,3,"prawn","Penaeus monodon","Penaeus monodon",0,TRUE,"DaVinci","Donnelly",0,0,3.21,2.93,0,0
"PvCF_D1_06","PvCF_D1_06_TR1","1_PvCF_1_6",1,"PvCF","D1",1,6,1,"salmon_1","Actinopteri","Oncorhynchus kisutch",0.1,TRUE,"DaVinci","Donnelly",0.33,0.05,3.21,2.93,0.102803738317757,0.0170648464163823
"PvCF_D1_06","PvCF_D1_06_TR2","1_PvCF_1_6",1,"PvCF","D1",1,6,2,"salmon_1","Actinopteri","Oncorhynchus kisutch",0.1,TRUE,"DaVinci","Donnelly",0.33,0.05,3.21,2.93,0.102803738317757,0.0170648464163823
"PvCF_D1_06","PvCF_D1_06_TR3","1_PvCF_1_6",1,"PvCF","D1",1,6,3,"salmon_1","Actinopteri","Oncorhynchus kisutch",0.1,TRUE,"DaVinci","Donnelly",0.33,0.05,3.21,2.93,0.102803738317757,0.0170648464163823
"PvCF_D1_06","PvCF_D1_06_TR1","1_PvCF_1_6",1,"PvCF","D1",1,6,1,"squid","Cephalopoda","Doryteuthis opalescens",0.1,TRUE,"DaVinci","Donnelly",0.33,0.32,3.21,2.93,0.102803738317757,0.109215017064846
"PvCF_D1_06","PvCF_D1_06_TR2","1_PvCF_1_6",1,"PvCF","D1",1,6,2,"squid","Cephalopoda","Doryteuthis opalescens",0.1,TRUE,"DaVinci","Donnelly",0.33,0.32,3.21,2.93,0.102803738317757,0.109215017064846
"PvCF_D1_06","PvCF_D1_06_TR3","1_PvCF_1_6",1,"PvCF","D1",1,6,3,"squid","Cephalopoda","Doryteuthis opalescens",0.1,TRUE,"DaVinci","Donnelly",0.33,0.32,3.21,2.93,0.102803738317757,0.109215017064846
"PvCF_D1_07","PvCF_D1_07_TR3","1_PvCF_1_7",1,"PvCF","D1",1,7,3,"capelin","Actinopteri","Mallotus villosus",0.2,TRUE,"DaVinci","Donnelly",0.7,0.9,3.52,3.34,0.198863636363636,0.269461077844311
"PvCF_D1_07","PvCF_D1_07_TR1","1_PvCF_1_7",1,"PvCF","D1",1,7,1,"capelin","Actinopteri","Mallotus villosus",0.2,TRUE,"DaVinci","Donnelly",0.7,0.9,3.52,3.34,0.198863636363636,0.269461077844311
"PvCF_D1_07","PvCF_D1_07_TR2","1_PvCF_1_7",1,"PvCF","D1",1,7,2,"capelin","Actinopteri","Mallotus villosus",0.2,TRUE,"DaVinci","Donnelly",0.7,0.9,3.52,3.34,0.198863636363636,0.269461077844311
"PvCF_D1_07","PvCF_D1_07_TR3","1_PvCF_1_7",1,"PvCF","D1",1,7,3,"hake","Actinopteri","Merluccius productus",0,TRUE,"DaVinci","Donnelly",0,0,3.52,3.34,0,0
"PvCF_D1_07","PvCF_D1_07_TR1","1_PvCF_1_7",1,"PvCF","D1",1,7,1,"hake","Actinopteri","Merluccius productus",0,TRUE,"DaVinci","Donnelly",0,0,3.52,3.34,0,0
