diet,date,seal_id,diet_sp,expected_prop,actual_mass,total_mass
D4,20241028,DaVinci,prawn,0.2,0.96,4.8
D4,20241028,DaVinci,hake,0,0,4.8
D4,20241028,Pym,herring,0.2,0.6,3
D4,20241028,Pym,capelin,0.2,0.6,3
D4,20241028,Pym,salmon_2,0.2,0.6,3
D4,20241028,Pym,squid,0.2,0.6,3
D4,20241028,Pym,prawn,0.2,0.6,3
D4,20241028,Pym,hake,0,0,3
D4,20241029,DaVinci,herring,0.2,0.96,4.8
D4,20241029,DaVinci,capelin,0.2,0.96,4.8
D4,20241029,DaVinci,salmon_2,0.2,0.96,4.8
D4,20241029,DaVinci,squid,0.2,0.96,4.8
D4,20241029,DaVinci,prawn,0.2,0.96,4.8
D4,20241029,DaVinci,hake,0,0,4.8
D4,20241029,Pym,herring,0.2,0.6,3
D4,20241029,Pym,capelin,0.2,0.6,3
D4,20241029,Pym,salmon_2,0.2,0.6,3
D4,20241029,Pym,squid,0.2,0.6,3
D4,20241029,Pym,prawn,0.2,0.6,3
D4,20241029,Pym,hake,0,0,3
D4,20241030,DaVinci,herring,0.2,0.96,4.8
D4,20241030,DaVinci,capelin,0.2,0.96,4.8
D4,20241030,DaVinci,salmon_2,0.2,0.96,4.8
D4,20241030,DaVinci,squid,0.2,0.96,4.8
D4,20241030,DaVinci,prawn,0.2,0.96,4.8
D4,20241030,DaVinci,hake,0,0,4.8
D4,20241030,Pym,herring,0.2,0.6,3
D4,20241030,Pym,capelin,0.2,0.6,3
D4,20241030,Pym,salmon_2,0.2,0.6,3
D4,20241030,Pym,squid,0.2,0.6,3
D4,20241030,Pym,prawn,0.2,0.6,3
D4,20241030,Pym,hake,0,0,3
D4,20241031,DaVinci,herring,0.2,0.96,4.8
D4,20241031,DaVinci,capelin,0.2,0.96,4.8
D4,20241031,DaVinci,salmon_2,0.2,0.96,4.8
D4,20241031,DaVinci,squid,0.2,0.96,4.8
D4,20241031,DaVinci,prawn,0.2,0.96,4.8
D4,20241031,DaVinci,hake,0,0,4.8
D4,20241031,Pym,herring,0.2,0.6,3
D4,20241031,Pym,capelin,0.2,0.6,3
D4,20241031,Pym,salmon_2,0.2,0.6,3
D4,20241031,Pym,squid,0.2,0.6,3
D4,20241031,Pym,prawn,0.2,0.6,3
D4,20241031,Pym,hake,0,0,3
D4,20241101,DaVinci,herring,0.2,0.84,4.2
D4,20241101,DaVinci,capelin,0.2,0.84,4.2
D4,20241101,DaVinci,salmon_2,0.2,0.84,4.2
D4,20241101,DaVinci,squid,0.2,0.84,4.2
D4,20241101,DaVinci,prawn,0.2,0.84,4.2
D4,20241101,DaVinci,hake,0,0,4.2
D4,20241101,Pym,herring,0.2,0.52,2.6
