Sample_ID,sampleid,year
Pv17-615,17RH0291,2017
Pv17-616,17RH0292,2017
Pv17-617,17RH0293,2017
Pv17-618,17RH0294,2017
Pv17-619,17RH0295,2017
Pv17-620,17RH0296,2017
Pv17-621,17RH0297,2017
Pv17-622,17RH0298,2017
Pv17-623,17RH0299,2017
Pv17-624,17RH0300,2017
Pv17-625,17RH0301,2017
Pv17-626,17RH0302,2017
Pv17-627,17RH0303,2017
Pv17-628,17RH0304,2017
Pv17-629,17RH0305,2017
Pv17-630,17RH0306,2017
Pv17-631,17RH0307,2017
Pv17-632,17RH0308,2017
Pv17-633,17RH0309,2017
Pv17-634,17RH0310,2017
Pv17-635,17RH0311,2017
Pv17-636,17RH0312,2017
Pv17-637,17RH0313,2017
Pv17-638,17RH0314,2017
Pv17-639,17RH0315,2017
Pv17-640,17RH0316,2017
Pv17-641,17RH0317,2017
Pv17-642,17RH0318,2017
Pv17-643,17RH0319,2017
Pv17-644,17RH0320,2017
Pv17-645,17RH0321,2017
Pv17-646,17RH0322,2017
Pv17-647,17RH0323,2017
Pv17-648,17RH0324,2017
Pv17-649,17RH0325,2017
Pv17-650,17RH0326,2017
Pv17-651,17RH0327,2017
Pv17-652,17RH0328,2017
Pv17-653,17RH0329,2017
Pv17-654,17RH0330,2017
Pv17-655,17RH0331,2017
Pv17-656,17RH0332,2017
Pv17-657,17RH0333,2017
Pv17-658,17RH0334,2017
Pv17-659,17RH0335,2017
Pv17-660,17RH0336,2017
Pv17-661,17RH0337,2017
Pv17-662,17RH0338,2017
Pv17-663,17RH0339,2017
Pv17-664,17RH0340,2017
Pv17-665,17RH0341,2017
Pv17-666,17RH0342,2017
Pv17-667,17RH0343,2017
Pv17-668,17RH0344,2017
Pv17-669,17RH0345,2017
Pv17-670,17RH0346,2017
Pv17-671,17RH0347,2017
Pv17-672,17RH0348,2017
Pv17-673,17RH0349,2017
Pv17-674,17RH0350,2017
Pv17-675,17RH0351,2017
Pv17-676,17RH0352,2017
Pv17-677,17RH0353,2017
Pv17-678,17RH0354,2017
Pv17-679,17RH0355,2017
Pv17-680,17RH0356,2017
Pv17-681,17RH0357,2017
Pv17-682,17RH0358,2017
Pv17-683,17RH0359,2017
Pv17-684,17RH0360,2017
Pv17-685,17RH0361,2017
Pv17-686,17RH0362,2017
Pv17-687,17RH0363,2017
Pv17-688,17RH0364,2017
Pv17-689,17RH0365,2017
Pv17-690,17RH0366,2017
Pv17-691,17RH0367,2017
Pv17-692,17RH0368,2017
Pv17-693,17RH0369,2017
Pv17-694,17RH0370,2017
Pv17-695,17RH0371,2017
Pv17-696,17RH0372,2017
Pv17-697,17RH0373,2017
Pv17-698,17RH0374,2017
Pv17-699,17RH0375,2017
Pv17-700,17RH0376,2017
Pv17-701,17RH0377,2017
Pv17-702,17RH0378,2017
Pv17-703,17RH0379,2017
Pv17-704,17RH0380,2017
Pv17-705,17RH0381,2017
Pv17-706,17RH0382,2017
Pv17-707,17RH0383,2017
Pv17-708,17RH0384,2017
Pv17-709,17RH0385,2017
Pv17-710,17RH0386,2017
Pv17-711,17RH0387,2017
Pv17-712,17RH0388,2017
Pv17-713,17RH0389,2017
Pv17-714,17RH0390,2017
Pv17-715,17RH0391,2017
Pv17-716,17RH0392,2017
Pv17-717,17RH0393,2017
Pv17-718,17RH0394,2017
Pv17-719,17RH0395,2017
Pv17-720,17RH0396,2017
Pv17-721,17RH0397,2017
Pv17-722,17RH0398,2017
Pv17-723,17RH0399,2017
Pv17-724,17RH0400,2017
Pv18-0001,18QY0001,2018
Pv18-0002,18QY0002,2018
Pv18-0003,18QY0003,2018
Pv18-0004,18QY0004,2018
Pv18-0005,18QY0005,2018
Pv18-0006,18QY0006,2018
Pv18-0007,18QY0007,2018
Pv18-0008,18QY0008,2018
Pv18-0009,18QY0009,2018
Pv18-0010,18QY0010,2018
Pv18-0011,18QY0011,2018
Pv18-0012,18QY0012,2018
Pv18-0992,18QY0013,2018
Pv18-0993,18QY0014,2018
Pv18-0994,18QY0015,2018
Pv18-0996,18QY0016,2018
Pv18-0997,18QY0017,2018
Pv18-0998,18QY0018,2018
Pv18-0999,18QY0019,2018
Pv18-1000,18QY0020,2018
Pv18-1001,18QY0021,2018
Pv18-1002,18QY0022,2018
Pv18-1003,18QY0023,2018
Pv18-1004,18QY0024,2018
Pv18-1005,18QY0025,2018
Pv18-1006,18QY0026,2018
Pv18-1007,18QY0027,2018
Pv18-1008,18QY0028,2018
Pv18-1009,18QY0029,2018
Pv18-1010,18QY0030,2018
Pv18-1011,18QY0031,2018
Pv18-1012,18QY0032,2018
Pv18-1013,18QY0033,2018
Pv18-1014,18QY0034,2018
Pv18-1015,18QY0035,2018
Pv18-1016,18QY0036,2018
Pv18-1017,18QY0037,2018
Pv18-1018,18QY0038,2018
Pv18-1019,18QY0039,2018
Pv18-1020,18QY0040,2018
Pv18-1021,18QY0041,2018
Pv18-1022,18QY0042,2018
Pv18-1023,18QY0043,2018
Pv18-1024,18QY0044,2018
Pv18-1025,18QY0045,2018
Pv18-1026,18QY0046,2018
Pv18-1027,18QY0047,2018
Pv18-1028,18QY0048,2018
Pv18-1029,18QY0049,2018
Pv18-1030,18QY0050,2018
Pv18-1031,18QY0051,2018
Pv18-1032,18QY0052,2018
Pv18-1033,18QY0053,2018
Pv18-1034,18QY0054,2018
Pv18-1035,18QY0055,2018
Pv18-1036,18QY0056,2018
Pv18-1037,18QY0057,2018
Pv18-1038,18QY0058,2018
Pv18-1039,18QY0059,2018
Pv18-1040,18QY0060,2018
Pv18-1041,18QY0061,2018
Pv18-1042,18QY0062,2018
Pv18-1043,18QY0063,2018
Pv18-1044,18QY0064,2018
Pv18-1045,18QY0065,2018
Pv18-1046,18QY0066,2018
Pv18-1047,18QY0067,2018
Pv18-1048,18QY0068,2018
Pv18-1049,18QY0069,2018
Pv18-1050,18QY0070,2018
Pv18-1051,18QY0071,2018
Pv18-1052,18QY0072,2018
Pv18-1053,18QY0073,2018
Pv18-1054,18QY0074,2018
Pv18-1055,18QY0075,2018
Pv18-1056,18QY0076,2018
Pv18-1057,18QY0077,2018
Pv18-1058,18QY0078,2018
Pv18-1059,18QY0079,2018
Pv18-1060,18QY0080,2018
Pv18-1061,18QY0081,2018
Pv18-1062,18QY0082,2018
Pv18-1063,18QY0083,2018
Pv18-1064,18QY0084,2018
Pv18-1065,18QY0085,2018
Pv18-1066,18QY0086,2018
Pv18-1067,18QY0087,2018
Pv18-1068,18QY0088,2018
Pv18-1069,18QY0089,2018
Pv18-1070,18QY0090,2018
Pv18-1071,18QY0091,2018
Pv18-1072,18QY0092,2018
Pv18-1073,18QY0093,2018
Pv18-1074,18QY0094,2018
Pv18-1075,18QY0095,2018
Pv18-1076,18QY0096,2018
Pv18-1077,18QY0097,2018
Pv18-1078,18QY0098,2018
Pv18-1079,18QY0099,2018
Pv18-1080,18QY0100,2018
Pv18-1081,18QY0101,2018
Pv18-1082,18QY0102,2018
Pv18-1083,18QY0103,2018
Pv18-1084,18QY0104,2018
Pv18-1085,18QY0105,2018
Pv18-1086,18QY0106,2018
Pv18-1087,18QY0107,2018
Pv18-1088,18QY0108,2018
Pv18-1089,18QY0109,2018
Pv18-1090,18QY0110,2018
Pv18-1091,18QY0111,2018
Pv18-1092,18QY0112,2018
Pv18-1093,18QY0113,2018
Pv18-1094,18QY0114,2018
Pv18-1095,18QY0115,2018
Pv18-1096,18QY0116,2018
Pv18-1097,18QY0117,2018
Pv18-1098,18QY0118,2018
Pv18-1099,18QY0119,2018
Pv18-1100,18QY0120,2018
Pv18-1101,18QY0121,2018
Pv18-1102,18QY0122,2018
Pv18-1103,18QY0123,2018
Pv18-1104,18QY0124,2018
Pv18-1105,18QY0125,2018
Pv18-1106,18QY0126,2018
Pv18-1107,18QY0127,2018
Pv18-1108,18QY0128,2018
Pv18-1109,18QY0129,2018
Pv18-1110,18QY0130,2018
Pv18-1111,18QY0131,2018
Pv18-1112,18QY0132,2018
Pv18-1113,18QY0133,2018
Pv18-1114,18QY0134,2018
Pv18-1115,18QY0135,2018
Pv18-1116,18QY0136,2018
Pv18-1117,18QY0137,2018
Pv18-1118,18QY0138,2018
Pv18-1119,18QY0139,2018
Pv18-1120,18QY0140,2018
Pv18-1121,18QY0141,2018
Pv18-1122,18QY0142,2018
Pv18-1123,18QY0143,2018
Pv18-1124,18QY0144,2018
Pv18-1125,18QY0145,2018
Pv18-1126,18QY0146,2018
Pv18-1127,18QY0147,2018
Pv18-1128,18QY0148,2018
Pv18-1129,18QY0149,2018
Pv18-1130,18QY0150,2018
Pv18-1131,18QY0151,2018
Pv18-1132,18QY0152,2018
Pv18-1133,18QY0153,2018
Pv18-1134,18QY0154,2018
Pv18-1135,18QY0155,2018
Pv18-1136,18QY0156,2018
Pv18-1137,18QY0157,2018
Pv18-1138,18QY0158,2018
Pv18-1139,18QY0159,2018
Pv18-1140,18QY0160,2018
Pv18-1141,18QY0161,2018
Pv18-1142,18QY0162,2018
Pv18-1143,18QY0163,2018
Pv18-1144,18QY0164,2018
Pv18-1145,18QY0165,2018
Pv18-1146,18QY0166,2018
Pv18-1147,18QY0167,2018
Pv18-1148,18QY0168,2018
Pv18-1149,18QY0169,2018
Pv18-1150,18QY0170,2018
Pv18-1151,18QY0171,2018
Pv18-1152,18QY0172,2018
Pv18-1153,18QY0173,2018
Pv18-1154,18QY0174,2018
Pv18-1155,18QY0175,2018
Pv18-1156,18QY0176,2018
Pv18-1157,18QY0177,2018
Pv18-1158,18QY0178,2018
Pv18-1159,18QY0179,2018
Pv18-1160,18QY0180,2018
Pv18-1161,18QY0181,2018
Pv18-1162,18QY0182,2018
Pv18-1163,18QY0183,2018
Pv18-1164,18QY0184,2018
Pv18-1165,18QY0185,2018
Pv18-1166,18QY0186,2018
Pv18-1167,18QY0187,2018
Pv18-1168,18QY0188,2018
Pv18-1169,18QY0189,2018
Pv18-1170,18QY0190,2018
Pv18-1171,18QY0191,2018
Pv18-1172,18QY0192,2018
Pv18-1173,18QY0193,2018
Pv18-1174,18QY0194,2018
Pv18-1175,18QY0195,2018
Pv18-1176,18QY0196,2018
Pv18-1177,18QY0197,2018
Pv18-1178,18QY0198,2018
Pv18-1179,18QY0199,2018
Pv18-1180,18QY0200,2018
Pv18-1181,18QY0201,2018
Pv18-1182,18QY0202,2018
Pv18-1183,18QY0203,2018
Pv18-1184,18QY0204,2018
Pv18-1185,18QY0205,2018
Pv18-1186,18QY0206,2018
Pv18-1187,18QY0207,2018
Pv18-1188,18QY0208,2018
Pv18-1189,18QY0209,2018
Pv18-1190,18QY0210,2018
Pv18-1191,18QY0211,2018
Pv18-1192,18QY0212,2018
Pv18-1193,18QY0213,2018
Pv18-1194,18QY0214,2018
Pv18-1195,18QY0215,2018
Pv18-1196,18QY0216,2018
Pv18-1197,18QY0217,2018
Pv18-1198,18QY0218,2018
Pv18-1199,18QY0219,2018
Pv18-1200,18QY0220,2018
Pv18-1201,18QY0221,2018
Pv18-1202,18QY0222,2018
Pv18-1203,18QY0223,2018
Pv18-1204,18QY0224,2018
Pv18-1205,18QY0225,2018
Pv18-1206,18QY0226,2018
Pv18-1207,18QY0227,2018
Pv18-1208,18QY0228,2018
Pv18-1209,18QY0229,2018
Pv18-1210,18QY0230,2018
Pv18-1211,18QY0231,2018
Pv18-1212,18QY0232,2018
Pv18-1213,18QY0233,2018
Pv18-1214,18QY0234,2018
Pv18-1215,18QY0235,2018
Pv18-1216,18QY0236,2018
Pv18-1217,18QY0237,2018
Pv18-1218,18QY0238,2018
Pv18-1219,18QY0239,2018
Pv18-1220,18QY0240,2018
Pv18-1221,18QY0241,2018
Pv18-1222,18QY0242,2018
Pv18-1223,18QY0243,2018
Pv18-1224,18QY0244,2018
Pv18-1225,18QY0245,2018
Pv18-1226,18QY0246.2,2018
Pv18-1227,18QY0246,2018
Pv18-1228,18QY0247,2018
Pv18-1229,18QY0248,2018
Pv18-1230,18QY0249,2018
Pv18-1231,18QY0250,2018
Pv18-1232,18QY0251,2018
Pv18-1233,18QY0252,2018
Pv18-1234,18QY0253,2018
Pv18-1235,18QY0254,2018
Pv18-1236,18QY0255,2018
Pv18-1237,18QY0256,2018
Pv18-1238,18QY0257,2018
Pv18-1239,18QY0258,2018
Pv18-1240,18QY0259,2018
Pv18-1241,18QY0260,2018
Pv18-1242,18QY0261,2018
Pv18-1243,18QY0262,2018
Pv18-1244,18QY0263,2018
Pv18-1245,18QY0264,2018
Pv18-1246,18QY0265,2018
Pv18-1247,18QY0266,2018
Pv18-1248,18QY0267,2018
Pv18-1249,18QY0268,2018
