sampleid	well_position	project
18QY0316	B-F03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0317	B-G03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0318	B-H03	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0319	B-A04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0320	B-B04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0321	B-C04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0322	B-D04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0323	B-E04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0324	B-F04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0325	B-G04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0326	B-H04	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0327	B-A05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0328	B-B05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0329	B-C05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0330	B-D05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0331	B-E05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0332	B-F05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0333	B-G05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0334	B-H05	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0335	B-A06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0336	B-B06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0337	B-C06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0338	B-D06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0339	B-E06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0340	B-F06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0341	B-G06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0342	B-H06	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0343	B-A07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0344	B-B07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0345	B-C07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0346	B-D07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0347	B-E07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0348	B-F07	HarborSealScat_HS_5-6_SPID.0185-0186
18QY0349	B-G07	HarborSealScat_HS_5-6_SPID.0185-0186
