"SampleID","samplename","model_out_name","time","creek","station","station_num","biol","tech","diet_sp","P18S_taxon_assign","species_list","seal_1_actual_mass","seal_2_actual_mass","seal_1_total_mass","seal_2_total_mass","seal_1_actual_prop","seal_2_actual_prop","expected_prop","has_multiple_seals"
"PvCF_D1_07","PvCF_D1_07_TR2","1_PvCF_1_7",1,"PvCF","D1",1,7,2,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,3.07,3.52,3.34,0.897727272727273,0.919161676646707,0.9,TRUE
"PvCF_D1_07","PvCF_D1_07_TR2","1_PvCF_1_7",1,"PvCF","D1",1,7,2,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.27,3.52,3.34,0.102272727272727,0.0808383233532934,0.1,TRUE
"PvCF_D1_07","PvCF_D1_07_TR2","1_PvCF_1_7",1,"PvCF","D1",1,7,2,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.34,0,0,0,TRUE
"PvCF_D1_07","PvCF_D1_07_TR3","1_PvCF_1_7",1,"PvCF","D1",1,7,3,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,3.07,3.52,3.34,0.897727272727273,0.919161676646707,0.9,TRUE
"PvCF_D1_07","PvCF_D1_07_TR3","1_PvCF_1_7",1,"PvCF","D1",1,7,3,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.27,3.52,3.34,0.102272727272727,0.0808383233532934,0.1,TRUE
"PvCF_D1_07","PvCF_D1_07_TR3","1_PvCF_1_7",1,"PvCF","D1",1,7,3,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.34,0,0,0,TRUE
"PvCF_D1_08","PvCF_D1_08_TR1","1_PvCF_1_8",1,"PvCF","D1",1,8,1,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,3.07,3.52,3.34,0.897727272727273,0.919161676646707,0.9,TRUE
"PvCF_D1_08","PvCF_D1_08_TR1","1_PvCF_1_8",1,"PvCF","D1",1,8,1,"squid","Cephalopoda","Doryteuthis opalescens",0.36,0.27,3.52,3.34,0.102272727272727,0.0808383233532934,0.1,TRUE
"PvCF_D1_08","PvCF_D1_08_TR1","1_PvCF_1_8",1,"PvCF","D1",1,8,1,"prawn","Penaeus monodon","Penaeus monodon",0,0,3.52,3.34,0,0,0,TRUE
"PvCF_D1_08","PvCF_D1_08_TR2","1_PvCF_1_8",1,"PvCF","D1",1,8,2,"capelin","Actinopteri","Mallotus villosus; Merluccius productus; Clupea pallasii; Oncorhynchus kisutch",3.16,3.07,3.52,3.34,0.897727272727273,0.919161676646707,0.9,TRUE
