Species,Common_name,sp_abbrev,MiFish,In_Mish_DB,18S_repfish,18S_16S_everything,allfish-mam-comb,extract_ID_1,qubit_1,extract_ID_2,qubit_2,extract_3,qubit_3,Dilute to 5 ng/ul,dilute to 50 ul,FINAL_post_dil_conc,qubit_0507,dil_to 2ng,dil_to50ul,final_dil_conc,qubit_0508,notes
Stenobrachius leucopsaurus,Northern lampfish,NorLamp,Y,Y,N,Y,Y,01_NorLamp_B,BLOQ,,,,,,,,,,,,,
Syngnathus leptorhynchus,bay pipe fish,BayPip,Y,Y,N,Y,Y,01_BayPip,32.8,,,,,7.9,42.1,3.55,,,,,,
Thaleichthys pacificus,Eulachon,Eulach,Y,Y,N,Y,Y,01_Eulach_B,0.803,,,,,,,0.725,,,,,0.82,
Mallotus villosus,Capelin,Capel_VAQ,Y,Y,N,Y,Y,01_Capelin_VAQ,10.4,,,,,25,25,4.22,,,,,4.6,
Zalophus californianus,California Sea lion,Zc,Y,Y,N,Y,Y,CalSeaLion,5.36,,,,,,,5.05,,,,,5.58,
Sebastes spp 1,rockfish 1,RF_1,N,GENUS,N,N,N,01_Rock_F1_01,12.6,,,,,,,,,,,,,
Sebastes spp 2,rockfish 2,RF_2,N,GENUS,N,N,N,01_Rock_F2_01,4.06,,,,,,,,,,,,,
Doryteuthis opalescens,Market squid,SqVAQ,,,,,,,,,,,,,,,,,,,,
,Black-Tiger Shrimp,BlkTigShrVAQ,,,,,,,,,,,,,,,,,,,,
,Unknown shrimp,VAQShrimp,,,,,,,,,,,,,,,,,,,,
Oncorhynchus keta,Chum salmon ad,ChumSal_VAQ,,,,,,,,,,,,,,,,,,,,
Oncorhynchus kisutch,Coho salmon,Coho_VAQ,,,,,,,,,,,,,,,,,,,,
