SampleID,Date,Time,Diet,Seal_ID_1,Seal_ID_2,Scat_details,Tech_rep,PCR_ID
PvCF_D3_08,20241012,11:00,3,DaVinci,Pym,Pool,2,PvCF_D3_08_TR2
PvCF_D3_08,20241012,11:00,3,DaVinci,Pym,Pool,3,PvCF_D3_08_TR3
PvCF_D3_09,20241012,11:30,3,DaVinci,Pym,Pool,1,PvCF_D3_09_TR1
PvCF_D3_09,20241012,11:30,3,DaVinci,Pym,Pool,2,PvCF_D3_09_TR2
PvCF_D3_09,20241012,11:30,3,DaVinci,Pym,Pool,3,PvCF_D3_09_TR3
PvCF_D3_10,20241013,11:30,3,DaVinci,Pym,Pool,1,PvCF_D3_10_TR1
PvCF_D3_10,20241013,11:30,3,DaVinci,Pym,Pool,2,PvCF_D3_10_TR2
PvCF_D3_10,20241013,11:30,3,DaVinci,Pym,Pool,3,PvCF_D3_10_TR3
PvCF_D3_11,20241013,11:30,3,DaVinci,Pym,Pool,1,PvCF_D3_11_TR1
PvCF_D3_11,20241013,11:30,3,DaVinci,Pym,Pool,2,PvCF_D3_11_TR2
PvCF_D3_11,20241013,11:30,3,DaVinci,Pym,Pool,3,PvCF_D3_11_TR3
PvCF_D3_12,20241013,11:30,3,DaVinci,Pym,Pool,1,PvCF_D3_12_TR1
PvCF_D3_12,20241013,11:30,3,DaVinci,Pym,Pool,2,PvCF_D3_12_TR2
PvCF_D3_12,20241013,11:30,3,DaVinci,Pym,Pool,3,PvCF_D3_12_TR3
PvCF_D3_13,20241013,11:35,3,DaVinci,Pym,Pool,1,PvCF_D3_13_TR1
PvCF_D3_13,20241013,11:35,3,DaVinci,Pym,Pool,2,PvCF_D3_13_TR2
PvCF_D3_13,20241013,11:35,3,DaVinci,Pym,Pool,3,PvCF_D3_13_TR3
PvCF_D3_14,20241014,10:00,3,DaVinci,Pym,Pool,1,PvCF_D3_14_TR1
PvCF_D3_14,20241014,10:00,3,DaVinci,Pym,Pool,2,PvCF_D3_14_TR2
PvCF_D3_14,20241014,10:00,3,DaVinci,Pym,Pool,3,PvCF_D3_14_TR3
PvCF_D3_15,20241015,9:26,3,DaVinci,Pym,Pool,1,PvCF_D3_15_TR1
PvCF_D3_15,20241015,9:26,3,DaVinci,Pym,Pool,2,PvCF_D3_15_TR2
PvCF_D3_15,20241015,9:26,3,DaVinci,Pym,Pool,3,PvCF_D3_15_TR3
PvCF_D4_01,20241028,12:45,4,DaVinci,Pym,Pool,1,PvCF_D4_01_TR1
PvCF_D4_01,20241028,12:45,4,DaVinci,Pym,Pool,2,PvCF_D4_01_TR2
PvCF_D4_01,20241028,12:45,4,DaVinci,Pym,Pool,3,PvCF_D4_01_TR3
PvCF_D4_02,20241029,10:05,4,DaVinci,Pym,Pool,1,PvCF_D4_02_TR1
PvCF_D4_02,20241029,10:05,4,DaVinci,Pym,Pool,2,PvCF_D4_02_TR2
PvCF_D4_02,20241029,10:05,4,DaVinci,Pym,Pool,3,PvCF_D4_02_TR3
